communityname,state,pct_urban,med_income,pct_pub_asst,med_fam_income,pct_poverty,pct_not_h_sgrad,pct_coll_grad,pct_unemploy,pct_all_divorc,pers_per_fam,pct_kids2par,pct_work_mom18,pct_kids_born_nevr_marr,pct_immig3,pct_vacant_boarded,own_hous_low_q,own_hous_qrange,rent_low_q,rent_qrange,med_rentpct_hous_inc,pers_emerg_shelt,pers_homeless,police_per_pop,racial_match,pop_density,pct_use_pub_trans,violent_per_pop,non_viol_per_pop
Brainerdcity,MN,0,17985,12.54,24635,21.03,26.87,13.79,8.38,12.26,2.99,62.04,74.21,2.77,0.01,2.8,29900,27000,200,172,29.6,0,1,NA,NA,1732.1,0.58,NA,7430.45
Lancastercity,PA,100,22210,13.56,27002,20.93,38.62,13.47,6.47,14.52,3.2,46.91,62.08,11.97,0.5,5.47,45800,27600,252,151,27.5,348,0,217.93,78.01,7270.3,5.48,875.19,6934.07
LakeCharlescity,LA,100,21225,11.65,26204,23.57,30.58,18.36,10.56,13.29,3.17,57.01,61.62,5.87,0.13,6.17,36300,38800,148,192,27.3,15,6,177.01,80.56,2123.3,0.93,889.17,5763.14
Ashlandtown,MA,85.86,51173,4,57052,1.92,10.6,36.21,5.21,10.66,3.06,80.32,71.8,1.52,0.43,1.4,143100,63300,448,297,22.4,0,0,NA,NA,935.8,3.31,351.8,775.57
Richlandtownship,PA,73.08,27154,4.55,32701,7.54,21.41,17.87,5.82,5.98,2.92,83.13,67.22,0.64,0,1.64,44900,37300,200,127,23.3,23,0,NA,NA,631.1,0.86,536.23,2173.15
Arcadiacity,CA,100,47347,3.58,57238,5.23,11.12,36.39,3.63,9.73,3.1,79.64,59.63,0.89,6.15,2.92,316400,183601,538,319,28.7,0,2,NA,NA,4284.1,1.76,398.76,4482.6
Miltontown,MA,100,53130,3.99,61964,3.04,7.96,43.13,4.52,4.85,3.32,86.33,73.99,0.85,0.48,1.18,179000,105300,372,453,26.8,0,0,NA,NA,1904.3,10.43,200.02,1377.51
Wilsoncity,NC,0,21881,12.92,27881,23.52,36.9,18.39,8.28,13.57,3.04,49.05,72.94,10.19,0.19,7.81,45800,43900,150,144,28.1,30,0,NA,NA,1925.8,0.87,1449.39,10937.42
HighlandParkcity,IL,100,71905,1.48,82712,2.83,7.67,55.91,2.08,6.19,3.06,88.01,64.84,0.82,1.23,0.73,180400,221900,444,483,25.6,0,0,NA,NA,2449.9,11.56,NA,1655.37
Indiocity,CA,100,25976,11.32,26925,21.24,48.01,9.2,9.83,11.59,3.8,64.08,64.36,5.82,6.47,6.53,68000,33900,309,218,28.7,21,7,NA,NA,2084.8,1.14,950.75,7159.61
Frederickcity,MD,100,34891,5.18,40116,7.96,22.1,24.05,3.17,13.27,3.03,68.27,74.01,4.82,1.14,1.28,89000,54200,395,202,25.5,43,7,NA,NA,2130.4,2.28,1239.22,4682.21
MercerIslandcity,WA,100,61572,1.27,71136,2.3,3.24,60.32,3.24,8.68,2.97,84.22,56.84,0.31,1.69,0.32,237800,247900,471,280,26.2,0,0,NA,NA,3148.2,6.42,103.33,2014.94
ForestParkcity,OH,100,37050,4.16,40615,5.55,14.96,24.11,5.23,11.14,3.29,71.39,80.68,3.79,0.28,0.28,55200,24500,402,144,24.3,0,0,NA,NA,2834.7,3.79,326.81,5998.63
Logancity,UT,100,21312,4.61,26178,21.65,9.64,36.83,6.84,6.17,3.36,85,68.12,0.57,3.59,0.25,52800,35800,215,119,25.2,4,0,NA,NA,2238.5,0.92,89.45,3588.95
RockvilleCentrevillage,NY,100,55476,3.93,68553,3.32,12.32,43.95,3.63,6.4,3.27,85.32,63.61,1.76,0.32,0.91,221600,141200,396,321,24.6,11,1,NA,NA,7276.1,21.8,187.87,NA
Mankatocity,MN,0,22476,7.26,31471,25.16,15.13,29.17,5.3,6.31,2.98,73.72,74.17,2.31,1.13,1.71,49200,25700,268,169,29.9,82,3,NA,NA,2685.8,2.43,NA,6946.59
NewportNewscity,VA,100,27469,7.74,31180,14.04,20.66,18.44,5.93,12.83,3.08,64.41,66.56,6.41,0.53,3.83,68000,35800,282,172,26.2,96,39,145.36,79.69,2401.8,2.9,845.63,5590.56
AlexanderCitycity,AL,0,20970,8.59,27771,17.07,39.6,14.21,4.75,11.29,3.08,60.3,79.86,5.22,0,2.35,33300,38100,111,134,21.4,0,0,NA,NA,370.6,0.25,341.75,900.37
Cranfordtownship,NJ,100,54469,1.52,60659,2.51,12.62,33.75,2.57,6.24,3.13,85.12,70.47,1.02,0.42,0.86,174100,70100,535,327,26.4,0,0,NA,NA,4533.9,8.46,103.35,2381.26
Banningcity,CA,0,22514,18.38,27171,16.86,36.72,9.8,10.81,12.51,3.19,62.07,55.76,3.86,2.7,3.07,66700,60700,301,183,30.2,36,0,NA,NA,1077,0.44,895.24,5965.46
LosBanoscity,CA,0,24649,17.34,29481,19.4,36.97,12.11,10.21,11.77,3.39,64.97,61.89,2.9,2.06,0.34,84200,67400,256,149,28.9,17,0,NA,NA,2007.6,0,1647.53,6002.11
Glasgowcity,KY,0,17805,18.36,24023,24.71,46.73,10.51,9.08,12.14,2.94,65.89,62.94,3.16,0,1.05,30100,34400,124,136,24.3,0,0,NA,NA,1131.9,0.18,62.14,675.73
Laurinburgcity,NC,0,16496,20.68,19678,29.39,40.41,15.11,12.39,12.88,3.16,38.36,69.87,8.87,0.4,1.4,31400,35500,122,172,31.7,0,0,NA,NA,1493.5,0.39,936.82,8086.64
Portalescity,NM,0,16162,15.35,19359,34.98,38.26,21.1,9.67,11.07,3.13,60.66,58.88,2.16,1.23,1.96,27300,34300,169,107,28.5,0,0,NA,NA,2066.9,0,295.76,3469.22
Romuluscity,MI,100,31723,12.05,34729,12.94,30.67,5.88,9.6,14.65,3.31,62.21,61.18,4.72,0.06,7.12,40300,21700,233,193,23.4,97,2,NA,NA,615.4,0.14,NA,8234.94
Beniciacity,CA,100,49660,5.31,56735,5.43,9.59,32.62,4.19,13.3,3.1,76.13,70.45,1.83,0.79,1.06,156300,92500,473,305,27.8,0,0,NA,NA,1844.6,3.11,261.4,3700.16
Medfordtownship,NJ,77.01,59834,1.58,64144,2.3,9.61,40.97,4.36,6.45,3.32,88.01,62.67,0.57,0.1,1.49,154800,107000,538,463,26.6,0,0,NA,NA,503.9,2.02,114.23,1975.16
MineralWellscity,TX,0,19456,10.95,22487,23.17,37.38,11.25,9.68,14.39,3.11,64.87,62.07,2.67,0.45,5.67,21900,33700,165,145,26.3,0,0,NA,NA,705.5,0.69,683.46,4670.33
Alhambracity,CA,100,31368,11.58,34170,14.75,27.91,22.92,6.05,10.17,3.4,67.3,62.64,4.63,8.94,2.93,178200,108700,483,219,28.4,53,1,NA,NA,10393.2,5.99,544.59,4062
NewAlbanycity,IN,100,23933,9.07,27421,15.48,31.74,12.92,6.96,15.36,2.95,59.35,70.64,3,0.08,1.33,34900,31000,176,183,25.4,16,0,NA,NA,2625.2,1.2,1280.84,4561.38
Annapoliscity,MD,100,35516,6.75,41012,12.12,19.83,32.79,5.37,15.58,2.97,47.6,76.75,9.73,0.5,14.95,99400,93900,368,304,27.1,10,2,NA,NA,5063.6,5.05,1428.53,6575.2
Whitewatercity,WI,0,19635,3.1,36011,32.74,17.41,36.12,4.36,4.28,2.99,76.55,78.64,1.43,0.9,2.56,45800,30500,212,217,31,14,0,NA,NA,2566.9,0.37,137.89,2590.9
Greercity,SC,100,18049,11.2,22957,19.85,52.39,9.22,6.47,12.65,2.99,53.15,65.8,5.79,0.12,2.03,29700,33000,141,138,27.2,0,0,NA,NA,2003.5,0,1329.57,5675.59
Millburntownship,NJ,100,83275,2.17,102529,1.94,7.27,60.94,2.25,5.1,3.06,89.53,55.46,0.53,1.53,1.51,264600,235401,639,340,27.1,9,0,NA,NA,1915.8,17.53,116.35,3601.46
Warwickcity,RI,100,35786,5.3,42120,4.84,22.18,21.26,5.44,9.37,3.08,79.06,72.52,1.18,0.19,2.23,96900,45800,324,305,27.3,0,0,196.01,98.57,2322.5,1.76,423.52,4252.66
Pepperelltown,MA,0,44492,4,49259,3.98,12.3,30.6,5.47,8.09,3.36,84.25,69.56,0.97,0.43,0,138600,70100,394,301,25.4,0,0,NA,NA,432.1,0.59,210.18,1719.69
EastBrunswicktownship,NJ,100,58769,2.69,64076,2.27,11.99,40.94,3.86,5.9,3.26,87.69,67.74,0.57,1.66,1.05,147700,94500,604,268,25.9,7,0,200.56,72.23,1910.5,10,152.07,3321.36
FortSmithcity,AR,100,23835,5.25,29812,13.8,26.71,16.74,5.61,13.61,3.02,71.7,69.15,1.98,0.64,1.2,35700,38300,190,124,23.8,19,5,NA,NA,1504,0.06,690.79,7070.97
Bostoncity,MA,100,29180,11.94,34377,18.71,24.3,30,8.32,10.24,3.19,48.77,62.98,11.24,4.73,6.94,131300,62100,326,409,28.4,2245,218,372.79,88.7,11447.7,32.2,1968.89,NA
SouthMilwaukeecity,WI,100,31998,4.21,36735,5.01,20.6,14.81,4.6,9.67,3.04,76.41,74.87,1.44,0.09,0.48,56800,25100,293,164,22.9,0,0,NA,NA,4233.9,2.78,122.74,4217.19
Glastonburytown,CT,70.81,57464,2.05,66046,2.35,9.41,46.21,2.84,7.7,3.06,86.01,70.71,0.65,0.64,0.76,179900,109100,409,383,24.4,0,0,NA,NA,524.3,2.49,53.7,1908.07
Midvalecity,UT,100,21183,9.85,23681,20.7,26.28,13.24,7.12,14.83,3.17,61.02,65.88,2.57,1.48,3.8,46700,24600,252,84,23.4,0,4,NA,NA,3346.3,3.72,493.73,9307.97
Bloomingtoncity,IN,100,18393,4.65,29912,31.46,13.51,47.94,6.83,7.36,2.81,65.3,67.09,2.44,3.03,1.15,52900,54700,268,170,34.9,61,0,NA,NA,3871.8,3.45,815.98,3669.55
MountainViewcity,CA,100,42431,4.05,48960,6.22,13.37,40.75,3.17,14.85,2.93,70.62,71.9,2.56,6.45,0.8,270600,169100,593,304,26,112,5,NA,NA,5410.7,4.19,411.23,6018.78
Allencity,TX,99.17,47869,1.82,49984,3.09,6.27,31.9,3.09,8.1,3.38,86.47,75.01,0.55,0.34,2.53,68500,30800,450,114,24.4,0,0,NA,NA,930.3,0.84,NA,2480.23
Madisoncity,WI,100,29420,5.16,40799,16.05,9.38,41.98,3.52,9.32,2.92,72.82,78.05,2.85,2.01,0.97,61500,35700,338,192,28.3,209,5,153.45,96.98,3196.2,7.74,321.68,5118.88
Athenscity,TX,0,18870,9.62,24161,21.95,34.91,15.65,9,13.71,3.09,62.95,66.91,2.57,1.72,3.64,30200,41800,177,147,25.6,0,0,NA,NA,768.4,0,1300.88,4699.12
LincolnParkcity,MI,100,30638,7.2,36016,8.53,32.44,6.77,7.78,11.67,3.1,72.53,64.36,1.47,0.11,1.19,36800,18000,302,128,23.8,0,0,NA,NA,6903,1.21,NA,5030.12
Somersworthcity,NH,100,32886,6.4,38252,6.75,25.29,13.57,5.32,12.04,3.02,71.17,77.15,2.51,0.17,1.74,89700,40800,324,215,25.6,17,0,NA,NA,1110.1,1.13,80.12,3071.31
Ypsilanticity,MI,100,21219,10.86,31544,29.47,17.84,34.17,7.5,8.85,3.04,51.21,67.1,9.82,2.99,7.53,46300,42500,290,203,30.5,74,0,NA,NA,5501.8,3.53,NA,5906.14
HazelCrestvillage,IL,100,40369,4.33,43500,7.73,14.64,19.89,9.73,12.05,3.42,64.68,82.11,2.82,0.19,0.26,56400,27500,419,154,27.6,0,0,NA,NA,3814.1,13.96,NA,4261.51
Braintreetown,MA,100,44734,5.13,51920,4.1,12.43,23.41,6.7,6.81,3.24,80.44,67.91,1.16,0.38,2.55,142800,64900,398,336,26,0,2,NA,NA,2351.7,7.87,421.75,3534.64
Dovercity,OH,0,27688,6.14,32682,7.46,21.93,14.26,6.74,9.89,2.96,77.33,67.84,0.45,0,2.03,42100,31100,217,134,23.5,0,0,NA,NA,2301.7,0.3,66.33,3523.75
CollegeParkcity,GA,100,22194,8.97,23768,23.37,25,17.15,8.29,18.77,3.19,39.39,77.55,17.6,1.23,3.03,52800,38500,342,105,26.9,0,4,NA,NA,2035.9,17.9,1874.95,14131.86
Elizabethcity,NJ,100,27631,11.45,31478,16.12,41.52,11.46,9.91,11.56,3.35,57.18,65.04,9.04,5.78,4.74,107800,66100,351,202,26.2,61,43,277.03,79.06,8617.3,10.61,1311.2,7568.62
Smyrnatown,TN,0,31155,6.55,34797,10.96,29.64,11.21,5.03,13.51,3.15,68.5,73.54,3.73,0,1.47,59000,31200,277,145,23.9,0,0,NA,NA,716.2,0.11,292,3071.89
Clarksvillecity,TN,100,25341,6.28,27557,13.3,18.69,18.47,6.29,10.59,3.1,73.51,65.06,3.17,0.62,2.41,46900,26500,231,147,24.4,0,0,NA,NA,997.3,1.59,1130.86,3814.79
Ramseycity,MN,100,46101,3.12,47161,2.04,7.5,14.35,4.97,6.57,3.6,88.51,77.12,0.97,0,1.85,75100,24300,378,200,24.8,0,0,NA,NA,416.1,1.69,NA,2833.17
Patersoncity,NJ,100,26960,13.05,30145,18.54,45.12,8.71,11.04,12.67,3.63,47.23,67.56,13.92,4.16,5.75,100100,70200,324,230,28.4,252,94,253.22,67.85,16110.7,10.55,1571.14,6672.33
Dovercity,DE,100,31308,7.13,38058,12.45,17.79,26.54,4.07,12,3.05,60.16,74.91,6.92,0.38,2.05,70900,42800,292,186,24.6,22,3,NA,NA,1251.2,0.62,887.29,7276.46
Ankenycity,IA,0,36582,2.49,42733,5.63,6.14,29.1,2.07,8.41,3.15,85.22,79.76,0.89,0.04,0.44,61500,23700,302,110,22.8,0,0,NA,NA,1356.3,0.24,65.71,NA
SomersPointcity,NJ,100,31793,2.5,39203,6.25,21.19,20.36,3.44,13.27,2.99,69.27,78.5,2.43,0.62,0.55,89600,43900,468,127,27.2,0,0,NA,NA,2685.8,2.89,207.79,2839.83
Orindacity,CA,100,80968,2.55,89205,2.36,2.95,66.02,2.98,7.49,2.92,87.89,58.23,0.31,0.49,1.18,340100,159901,491,510,30.1,0,0,NA,NA,1275.8,11.77,51.42,2205.46
Sheffieldcity,AL,100,20134,11.17,26730,20.96,34.2,13.58,7.43,12.08,2.97,57.86,69.21,6.18,0.35,2.35,32000,32000,99,134,27.7,8,0,NA,NA,1526.5,0.17,241.31,4662.16
Fontanacity,CA,100,35558,10.11,38055,11.4,28.02,9.44,7.37,11.77,3.64,70.53,57.41,4.56,2.51,1.9,108700,49800,433,164,30.3,10,25,NA,NA,2372,0.6,1333.23,4883.08
Sunnysidecity,WA,0,20393,16.5,22955,27.93,52.91,10.17,14.88,10.56,3.72,61.17,62.9,5.41,3.49,6.52,34200,26800,189,110,24.3,0,2,NA,NA,3030.7,0.19,944.85,11622.37
SpanishForkcity,UT,0,29023,4.31,31875,7.55,14.94,12.98,6.41,6.65,3.89,86.46,61.97,0.44,0.11,5.56,47700,25700,219,112,20.4,0,0,NA,NA,1432.6,0.9,108.49,3681.47
AuburnHillscity,MI,100,34825,6.11,38008,7.38,18.18,23.64,4.18,12.46,2.94,67.87,70.48,5.93,1.05,2.27,53500,32400,399,219,23.2,0,0,NA,NA,992.3,0.31,NA,5224.08
Douglascity,GA,0,19038,18.58,22470,26.24,38.02,15.86,8.71,14.42,3.17,44.61,67.56,8.41,0,0.49,34000,38400,100,158,26.2,0,0,NA,NA,873.5,0,1724.14,12666.44
Germantownvillage,WI,100,43486,1.67,46827,2.3,12.77,21.7,2.6,8.09,3.15,85.89,78.25,0.53,0,0,79900,37600,441,98,20.7,0,0,NA,NA,383,0.65,61.12,2573.19
Irmotown,SC,100,42281,2.38,44349,2.34,5.4,35.93,2.94,7.66,3.28,87.31,82.43,1.07,0.04,0.81,65500,25100,427,140,21.5,0,0,NA,NA,2775.6,0.2,179.32,2541.71
Mitchellcity,SD,0,20146,7.67,27728,14.51,24.49,15.45,4.67,8.36,3.07,77.55,82.19,1.18,0.05,1.04,26500,27500,158,128,25.3,0,0,NA,NA,1418.4,0.22,198.79,4195.95
AppleValleycity,MN,100,49981,2.3,53641,3.49,4.59,36.59,3.49,7.6,3.41,86.82,76.02,1.25,0.45,0.51,84300,49500,426,220,28.6,0,0,NA,NA,1925.8,2.11,NA,3072.56
Roseburgcity,OR,0,23745,6.66,28004,14.7,23.31,15.61,7.28,15.75,2.95,66.08,67.26,2.11,0.56,3.97,44100,31900,223,149,25.2,118,3,NA,NA,2209.7,0.69,322.81,7446.99
Crestwoodcity,MO,100,40926,1.94,45637,3.36,16.67,29.34,4.23,7.41,2.91,86.39,66.16,0.46,0.06,1.2,75400,40200,352,145,27.9,0,0,NA,NA,3400.1,1.19,124.32,5834.3
HasbrouckHeightsborough,NJ,100,44672,2.59,52919,2.51,20.42,22.04,4.58,6.5,3.18,85.57,57.83,1,1.56,0,177100,64200,481,241,24.1,0,0,NA,NA,7345.3,9.64,84.88,3140.65
LaGrandecity,OR,0,21318,7.78,29583,18.98,19.23,19.54,7.41,11.62,3.02,72.64,70.38,2.5,0.77,1.8,32800,27000,186,117,26,7,0,NA,NA,2831.1,0,170.15,3480.28
Kaukaunacity,WI,100,30743,5.85,35265,7.67,21.81,10.72,5.09,7.47,3.25,82.08,74.09,1.22,0.23,0,43900,24800,224,118,22.7,0,0,NA,NA,2456.7,0.81,74.96,2657
Bellevuecity,WA,100,43800,2.87,54261,5.58,5.82,45.65,3.03,11.63,2.94,78.66,66.89,1.11,3.29,0.36,146300,127800,457,207,27.2,18,13,152.99,94.85,3175.7,6.81,223.06,5492.49
RiverFallscity,WI,0,30535,6.35,39609,14.69,12.51,30.51,6.32,6.96,3.11,76.38,82.21,2.51,0.42,0,60000,29100,285,179,27.4,0,0,NA,NA,2529.6,0.91,103.33,5967.45
Milwaukiecity,OR,100,29693,4.55,34982,8.35,15.13,17.55,4.6,14.68,2.92,71.15,71.65,1.15,0.17,1.48,54000,24200,315,130,23.9,12,1,NA,NA,3789.9,3.83,245.51,4178.5
Clemsoncity,SC,0,22265,1.35,46917,28.65,11.77,56.99,5.77,4.81,2.88,78.29,68.97,1.68,2.24,0,64800,53900,256,225,35.1,0,0,NA,NA,1503.5,0,358.97,4549.94
Marlboroughcity,MA,100,41315,4.82,47311,5.65,16.95,26.63,6.16,10.15,3.09,75.25,72.69,2.27,2.69,1.26,140500,59900,490,248,26.1,66,0,NA,NA,1456.1,0.65,505.1,1736.45
Greenbeltcity,MD,100,38956,2.09,46760,9.61,8.76,44.72,3.76,13.27,2.84,67.37,76.44,2.39,3.71,0,64700,81300,612,137,24.7,2,0,NA,NA,3426.9,9.48,551.32,NA
Stantoncity,CA,100,33367,8.22,35781,13.62,29.64,14.18,8.43,13.28,3.41,64.4,63.87,4.26,7.57,0.89,142800,58500,587,156,30.6,42,0,NA,NA,9422.4,3.65,997.03,6857.05
Florencetownship,NJ,85.47,37764,4.44,42829,6.77,25.29,14.33,4.46,10.28,3.17,72.78,72.49,2.17,0.17,1.82,81800,61600,383,209,24.6,0,0,NA,NA,1020.1,0.26,295.04,2217.57
Harrisonburgcity,VA,0,25312,5.54,32377,21.46,23.15,28.68,4.6,8.14,2.85,68.82,71.42,4.02,0.82,1.02,67200,55600,256,182,25.9,2,0,NA,NA,1687.6,2.01,151.78,4264.75
Trumbulltown,CT,100,60634,2.19,66070,1.98,16.25,36,4.41,4.67,3.22,88.04,65.3,0.66,0.56,1.19,201100,101600,198,803,22.8,0,0,NA,NA,1325.9,1.5,64.61,4335.25
BatonRougecity,LA,100,21898,9.88,29024,26.17,23.24,28.34,9.35,12.37,3.18,51.66,68.76,9.92,0.76,13.02,43000,51700,199,147,28.5,131,7,258.05,75.95,2865.6,1.88,2978.69,13039.07
RollingMeadowscity,IL,100,45764,2.04,50943,3.26,13.89,27.63,2.81,9.4,3.15,79.78,70.64,1.5,3.47,0,107400,56300,555,122,22.3,1,0,NA,NA,4137.5,4.45,NA,3842.47
Watertowncity,SD,0,20606,4.84,27585,13.44,23.65,14.08,5.53,8.07,3.11,79.82,84.77,1.16,0.11,0.34,36400,34600,166,141,26.2,0,0,NA,NA,1286.7,0.06,158.85,4015.12
Springfieldcity,TN,0,21645,13.21,27219,19.55,40.08,10.47,6.1,13.52,3.05,54.49,70.02,5.18,0.2,4.18,39400,32700,125,174,26.9,0,0,NA,NA,1574.2,0.31,1390.25,6593.18
Marquettecity,MI,0,24365,7.84,33207,16.57,16.82,30.09,7.2,9.99,2.96,70.48,74.96,2.16,0.25,2.19,38700,31400,223,161,26.5,26,0,NA,NA,1859.9,0.91,NA,3293.16
Miamitownship,OH,82.6,42530,2.95,47500,4.3,17.05,24.7,3.02,8.12,3.24,86.27,72.21,0.56,0.11,2.87,67700,60100,329,104,21.4,0,0,NA,NA,819.5,0.98,133.87,2996.93
CentralFallscity,RI,100,18617,16.66,23415,22.33,53.08,5.65,9.85,12.82,3.23,53.01,64.35,8.05,6.14,3.03,75500,45600,226,193,28.2,7,0,NA,NA,14073.6,2.29,1483.15,5038.73
Reedleycity,CA,0,24128,14.48,25588,22.42,46.11,10.39,15.46,7.91,3.66,66.94,66.27,5.6,7.05,2.04,61300,34200,269,152,29.1,0,0,NA,NA,3912.5,0.91,724.94,5216.01
HotSpringscity,AR,0,15708,9.5,21704,24.92,35.62,13.23,6.68,15.04,2.8,58.79,68.66,3.16,0.05,1.96,29900,36200,155,141,29.9,62,3,NA,NA,1086.8,1.06,872.72,11109.88
MapleShadetownship,NJ,100,32955,2.75,39475,2.77,25.96,15.81,4.89,12.43,2.92,73.85,70.78,1.68,0.59,3.01,81500,32500,481,145,24.5,0,0,NA,NA,4818.2,4.13,300.04,3951.38
Huntsvillecity,TX,0,17876,8.53,27646,30,26.65,21.39,8.13,15.85,3.08,61.06,74.98,6.48,0.71,2.1,39300,43600,259,139,32.4,3,0,NA,NA,1285.9,0.21,744.75,3930.26
Vidorcity,TX,0,24568,7.34,30432,15.12,33.24,5.64,6.4,13.36,3.15,73.4,57.49,0.7,0,4.37,28700,24200,175,109,28,0,0,NA,NA,999.5,0,267.96,4295.96
Marshallcity,MN,0,25392,6.48,32560,13.02,22.2,23.36,4.37,6.41,3.05,80.25,80.08,1.02,0.28,0.8,47200,29100,197,166,24.9,0,0,NA,NA,1582.1,0.91,NA,3194.08
Hobbscity,NM,0,22807,9.37,25757,24.8,33.58,13.44,7.58,11.91,3.31,68.59,48.88,3.27,0.49,6.24,27000,37800,175,157,25.1,14,0,NA,NA,1487.3,0.19,1318.22,7522.8
SanMarinocity,CA,100,100077,1.1,105123,3.88,4.77,61.5,2.81,4.4,3.23,86.37,57.48,0.6,4.51,0,500001,0,1001,0,14.9,0,0,NA,NA,3322.8,0.99,198.88,1996.17
Auburncity,ME,97.28,27493,8.12,32735,10.91,23.27,19.08,6.69,11.77,3.01,71.04,72.69,3.01,0.54,1.75,68200,45300,249,199,25.9,0,0,NA,NA,392.5,0.58,72.71,2993.76
Salemcity,VA,100,29047,3.32,35619,5.16,23.91,17.85,2.39,11.55,2.87,73.88,75.08,1.43,0.16,0.67,52700,41700,276,122,25.2,1,4,NA,NA,1575.7,0.06,102.2,2959.81
FortMadisoncity,IA,0,22098,7.36,28179,12.84,20.68,11.47,7.52,12.29,2.94,68.74,73.77,2.02,0.08,3.97,23200,23700,165,100,26.8,0,0,NA,NA,1211.1,0.44,88.3,NA
Inglewoodcity,CA,100,29881,11.32,32077,16.47,34,14.93,10,15.42,3.62,54.18,67.29,11.89,6.25,3.1,135000,75100,468,202,31.2,10,95,186.19,50.98,11537.1,7.5,2078.85,5569.51
Crawfordsvillecity,IN,0,23156,7.18,31013,14.9,23.5,13.68,5.83,12.72,2.94,72.46,75.47,2.51,0.18,0.58,33000,27300,205,119,24.8,0,0,NA,NA,1733.5,0.35,62.53,5822.68
Nilescity,OH,100,25547,7.84,31739,12.66,28.16,11.06,7.01,12.04,3.05,71.65,59.83,2.08,0.09,2.32,35800,27600,217,129,24.5,0,0,NA,NA,2404.8,0.34,427.27,4230.91
SouthPasadenacity,CA,100,43043,3.39,55808,5,8.37,48.96,2.55,12.3,3.05,74.91,65.11,1.4,3.03,2.05,278900,221101,538,205,25.9,0,0,NA,NA,6731.2,1.71,348.5,3633.23
Kinstoncity,NC,0,18253,15.04,24466,25.16,38.47,15.41,8.17,14.46,3.06,43.81,77.27,7.97,0.02,2.98,36100,44500,117,139,27.8,9,0,NA,NA,1859.4,0.4,1336.03,10571.42
GreenBaycity,WI,100,26770,8.46,33367,13.39,19.15,16.66,5.42,10.54,3.08,73.56,71.31,2.83,0.6,0.6,44400,26500,253,126,25.1,150,1,123.63,94.22,2124.3,2.18,435.6,4114.51
Ellensburgcity,WA,0,14456,5.39,24973,33.88,16.94,29.81,8.07,8.36,2.86,66.19,65.87,1.58,1.27,2.61,42200,28800,204,121,34.5,0,0,NA,NA,2414.3,0.24,196.79,4810.5
Tulsacity,OK,100,25708,5.85,32619,14.99,17.74,25.82,6.09,15.18,2.96,65.86,66.88,3.66,0.58,11.02,42000,47700,225,155,24.4,334,91,186.13,89.18,1931.9,1.5,1304.78,6544.31
Piscatawaytownship,NJ,100,50451,3.42,56142,2.88,15.72,31.61,4.6,6.83,3.31,79.53,74.08,2.7,3.02,1.11,141200,57800,533,161,24.4,0,0,NA,NA,2419.6,5.88,313.89,2631.36
Everettcity,MA,100,30786,8.59,37397,9.6,27.07,11.33,7.59,9.73,3.05,69.25,59.4,2.88,1.75,0.9,131700,45300,385,246,25.1,0,0,NA,NA,10186.3,17.59,1678.08,4253.46
Hudsontown,MA,95.07,45191,4.3,51698,3.61,22.95,23.16,5.46,7.89,3.19,82.99,72.85,1.28,0.99,0.93,144300,46600,376,293,26.5,0,0,NA,NA,1445.6,0.6,151.13,1354.53
PortOrangecity,FL,100,26472,3.15,30693,8.22,20.23,15.26,4.54,11,2.75,75.48,77.94,0.92,0.14,0.49,65600,29700,367,148,28.7,0,0,NA,NA,1694,0.6,184.39,2554.01
Herndontown,VA,100,53840,1.71,57557,3.19,12.22,37.87,2.42,10.28,3.32,80.8,82.18,2.4,4.71,2.35,137700,61700,585,195,24.5,18,0,NA,NA,3684.7,3.15,127.65,3446.55
Gillettecity,WY,0,35532,3.94,40788,9.69,11.26,17.9,5.31,12.12,3.31,78.73,68.48,1.5,0.16,1.19,53300,32700,236,145,20.9,14,0,NA,NA,1314.9,1.88,375.3,5079.82
Manchestercity,NH,100,31911,5.86,38812,8.99,25.06,19.57,7.07,12.1,3.01,69.45,76.26,2.99,1.06,2.11,100500,42800,371,186,26.3,147,1,168.12,97.58,2910.9,1.41,223.14,5388.97
BethelParkborough,PA,100,41149,1.75,46719,3.81,10.34,33.23,3.78,6.35,3.08,88.08,61.13,0.55,0.11,0.98,64700,41400,377,159,25.3,0,0,NA,NA,2793.2,11.79,58.24,1243.34
Aberdeentown,MD,0,30043,8.4,33044,10.66,25.29,12.56,5.96,14.28,3.07,60.79,74.09,5.65,0.15,3.76,67400,35400,276,125,26.2,0,0,NA,NA,2389.5,0.37,1032.91,5267.82
Amesburytown,MA,4.89,37889,6.68,44554,6.25,20.07,21.55,8.27,10.59,3.13,74.51,70.49,2.63,0.19,0.21,125200,58300,422,202,24.6,19,0,NA,NA,1166.8,0.84,566.68,2172.27
PoplarBluffcity,MO,0,14868,18.17,19744,26.82,41.94,11.8,8.52,15.41,2.95,59.76,70.45,3.67,0.16,4.23,20400,33700,132,108,27.6,31,0,NA,NA,1584.9,0.56,457.72,8759.58
Uxbridgetown,MA,60.25,40059,6.44,45550,5.87,23.43,19.86,6.65,7.42,3.2,81.38,73.74,1.42,0.1,2.63,117100,55400,275,295,24.2,0,0,NA,NA,340.2,0.26,645.16,1004.61
